,work_importance,religion_importance,overall_hapineess,overal_satisfaction_work,free_to_choose,life_satisfaction,pay_important_job,people _important_job,no_pressure_important_job,security_important_job,promotion_important_job,hours_important_job,usefulness_important_job,holidays_important_job,achieving_important_job,responsible_important_job,interesting_important_job,sex,age,marital_status,highest_educ_lvl,employment_status,numb_employees_organisation,job_type,duration_unemployment,country
1091,very important,quite important,quite happy,5,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,31.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
1092,very important,very important,not very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,male,27.0,single,compl compulsory education,unemployed,,,+ two years,Turkey
1093,very important,very important,quite happy,7,7,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,27.0,married,higher educ- upper-level 3d certificate,30h a week or more,25-49,junior level non-manual -office worker etc,,Turkey
1094,very important,very important,not very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,female,48.0,married,inadequate education,housewife,,,,Turkey
1095,very important,very important,very happy,0,10,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,41.0,married,inadequate education,housewife,,,,Turkey
1096,very important,very important,not very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,33.0,married,compl compulsory education,housewife,,,,Turkey
1097,very important,quite important,quite happy,0,4,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,29.0,married,inadequate education,housewife,,,,Turkey
1098,very important,very important,quite happy,0,10,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,20.0,single,compl compulsory education,housewife,,,,Turkey
1099,very important,very important,quite happy,0,10,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,21.0,single,inadequate education,housewife,,,,Turkey
1100,very important,very important,not very happy,4,4,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,47.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
1101,very important,very important,quite happy,0,1,3,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,44.0,married,compl compulsory education,30h a week or more,2-9,unskilled manual worker,,Turkey
1102,very important,very important,quite happy,5,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,32.0,married,compl compulsory education,30h a week or more,50-99,skilled manual worker,,Turkey
1103,very important,quite important,quite happy,0,4,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,29.0,widowed,compl compulsory education,unemployed,,,less than half a year,Turkey
1104,very important,very important,quite happy,0,9,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,22.0,single,full 2nd maturity level certificate,unemployed,,,half a year -one year,Turkey
1105,very important,very important,very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,19.0,single,compl compulsory education,unemployed,,,half a year -one year,Turkey
1106,very important,very important,not very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,31.0,married,inadequate education,housewife,,,,Turkey
1107,very important,very important,quite happy,0,1,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,28.0,single,compl compulsory education,housewife,,,,Turkey
1108,very important,very important,quite happy,0,1,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,female,25.0,single,compl compulsory education,housewife,,,,Turkey
1109,very important,very important,not very happy,0,1,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,32.0,single,compl compulsory education,housewife,,,,Turkey
1110,very important,quite important,quite happy,0,3,7,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,43.0,married,"2nd, interm general qualification",housewife,,,,Turkey
1111,very important,very important,not very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,43.0,married,inadequate education,housewife,,,,Turkey
1112,quite important,very important,not very happy,0,8,2,mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,male,68.0,married,inadequate education,self employed,,"farmer: employer, manager or own account",,Turkey
1113,very important,very important,not at all happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,57.0,married,compl compulsory education,unemployed,,,,Turkey
1114,very important,very important,not very happy,5,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,40.0,married,inadequate education,self employed,,"farmer: employer, manager or own account",,Turkey
1115,very important,very important,not very happy,1,8,7,mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,male,34.0,married,compl compulsory education,self employed,,"farmer: employer, manager or own account",,Turkey
1116,very important,very important,not at all happy,0,1,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,25.0,married,inadequate education,unemployed,,,,Turkey
1117,quite important,very important,quite happy,2,6,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,male,21.0,single,compl compulsory education,self employed,,,,Turkey
1118,very important,very important,not at all happy,0,4,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,54.0,married,inadequate education,housewife,,,,Turkey
1119,very important,quite important,not very happy,0,4,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,female,46.0,widowed,inadequate education,housewife,,,,Turkey
1120,quite important,very important,quite happy,0,5,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,female,38.0,married,compl compulsory education,housewife,,,,Turkey
1121,very important,very important,quite happy,0,1,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,38.0,married,inadequate education,housewife,,,,Turkey
1122,very important,very important,not at all happy,0,4,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,21.0,single,compl compulsory education,housewife,,,,Turkey
1123,very important,very important,quite happy,0,8,6,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,18.0,single,inadequate education,housewife,,,,Turkey
1124,quite important,quite important,quite happy,2,0,7,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,42.0,married,inadequate education,self employed,,agricultural worker,,Turkey
1125,very important,very important,not at all happy,3,10,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,33.0,married,full 2nd maturity level certificate,30h a week or more,,unskilled manual worker,,Turkey
1126,very important,very important,very happy,10,5,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,51.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
1127,very important,very important,quite happy,3,2,6,mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,40.0,married,compl compulsory education,self employed,,skilled manual worker,,Turkey
1128,very important,quite important,quite happy,1,8,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,male,26.0,married,inadequate education,30h a week or more,,member of armed forces,,Turkey
1129,very important,very important,not at all happy,0,8,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,20.0,single,compl compulsory education,unemployed,,,less than half a year,Turkey
1130,very important,very important,quite happy,0,7,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,51.0,married,inadequate education,housewife,,,,Turkey
1131,very important,very important,not at all happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,32.0,married,compl compulsory education,housewife,,,,Turkey
1132,quite important,very important,quite happy,0,5,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,female,41.0,married,inadequate education,housewife,,,,Turkey
1133,quite important,very important,not very happy,0,5,6,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,female,30.0,married,inadequate education,housewife,,,,Turkey
1134,very important,very important,quite happy,0,6,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,23.0,divorced,compl compulsory education,housewife,,,,Turkey
1135,very important,very important,not very happy,0,7,6,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,21.0,single,compl compulsory education,housewife,,,,Turkey
1136,very important,not important,quite happy,0,10,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,18.0,single,"2nd, interm general qualification",student,,,,Turkey
1137,very important,not important,not very happy,0,8,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,40.0,married,compl compulsory education,30h a week or more,10-24,unskilled manual worker,,Turkey
1138,very important,quite important,quite happy,0,5,6,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,49.0,married,"2nd, interm general qualification",housewife,,,,Turkey
1139,very important,very important,not at all happy,0,1,5,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,35.0,widowed,compl compulsory education,housewife,,,,Turkey
1140,very important,very important,not at all happy,0,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,57.0,married,"2nd, interm general qualification",retired/pensioned,,junior level non-manual -office worker etc,,Turkey
1141,very important,very important,not at all happy,0,1,5,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,18.0,married,compl compulsory education,housewife,,,,Turkey
1142,very important,very important,quite happy,0,1,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,21.0,single,full 2nd maturity level certificate,student,,,,Turkey
1143,very important,not important,not very happy,6,9,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,29.0,single,full 2nd maturity level certificate,less then 30h a week,2-9,semi-skilled manual worker,,Turkey
1144,quite important,very important,quite happy,0,10,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,63.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,junior level non-manual -office worker etc,,Turkey
1145,very important,not important,not at all happy,0,1,1,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,24.0,single,higher educ- upper-level 3d certificate,unemployed,,,less than half a year,Turkey
1146,very important,not at all important,quite happy,0,10,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,28.0,cohabiting,full 2nd maturity level certificate,student,,,,Turkey
1147,very important,very important,quite happy,9,1,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,49.0,married,higher educ- upper-level 3d certificate,less then 30h a week,50-99,junior level non-manual -office worker etc,,Turkey
1148,very important,quite important,quite happy,0,8,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,18.0,single,compl compulsory education,unemployed,,,less than half a year,Turkey
1149,very important,very important,quite happy,8,1,8,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,30.0,married,full 2nd maturity level certificate,30h a week or more,25-49,junior level non-manual -office worker etc,,Turkey
1150,very important,very important,not very happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,female,44.0,widowed,inadequate education,unemployed,,,less than half a year,Turkey
1151,very important,very important,quite happy,0,1,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,45.0,widowed,compl compulsory education,housewife,,,,Turkey
1152,very important,very important,quite happy,0,3,6,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,18.0,single,full 2nd maturity level certificate,student,,,,Turkey
1153,very important,very important,very happy,0,5,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,male,49.0,married,compl compulsory education,unemployed,,,less than half a year,Turkey
1154,very important,very important,quite happy,0,8,7,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,54.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Turkey
1155,very important,quite important,very happy,10,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,20.0,single,full 2nd maturity level certificate,30h a week or more,2-9,unskilled manual worker,,Turkey
1156,very important,very important,quite happy,10,10,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,30.0,married,"2nd, interm general qualification",self employed,,employer/manager of establ with less than 10 employees,,Turkey
1157,very important,very important,quite happy,0,5,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,46.0,married,inadequate education,housewife,,,,Turkey
1158,very important,very important,not very happy,0,6,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,22.0,single,compl compulsory education,unemployed,,,+ two years,Turkey
1159,very important,quite important,quite happy,0,1,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,24.0,single,compl compulsory education,unemployed,,,less than half a year,Turkey
1160,very important,very important,not at all happy,0,5,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,34.0,married,compl compulsory education,housewife,,,,Turkey
1161,very important,very important,very happy,0,10,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,24.0,married,compl compulsory education,housewife,,,,Turkey
1162,very important,very important,quite happy,0,6,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,36.0,single,"2nd, interm general qualification",unemployed,,,less than half a year,Turkey
1163,very important,not important,quite happy,5,8,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,29.0,divorced,full 2nd maturity level certificate,30h a week or more,2-9,semi-skilled manual worker,,Turkey
1164,very important,very important,not at all happy,0,5,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,51.0,married,inadequate education,housewife,,,,Turkey
1165,very important,very important,quite happy,0,1,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,21.0,single,full 2nd maturity level certificate,unemployed,,,half a year -one year,Turkey
1166,very important,very important,not very happy,10,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,31.0,single,full 2nd maturity level certificate,30h a week or more,100-249,semi-skilled manual worker,,Turkey
1167,very important,very important,quite happy,0,1,2,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,37.0,married,higher educ- upper-level 3d certificate,unemployed,,,+ two years,Turkey
1168,very important,very important,not at all happy,0,10,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,22.0,single,full 2nd maturity level certificate,unemployed,,,one -two years,Turkey
1169,very important,very important,not very happy,0,10,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,62.0,married,compl compulsory education,unemployed,,,+ two years,Turkey
1170,very important,very important,not at all happy,0,5,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,48.0,married,compl compulsory education,housewife,,,,Turkey
1171,very important,quite important,quite happy,0,8,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,28.0,single,higher educ- upper-level 3d certificate,unemployed,,,less than half a year,Turkey
1172,very important,very important,quite happy,0,4,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,27.0,single,full 2nd maturity level certificate,student,,,,Turkey
1173,very important,very important,not at all happy,0,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,61.0,married,compl compulsory education,self employed,,"farmer: employer, manager or own account",,Turkey
1174,very important,very important,quite happy,0,8,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,34.0,married,"2nd, interm general qualification",unemployed,,,less than half a year,Turkey
1175,very important,quite important,not very happy,4,5,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,31.0,single,compl compulsory education,30h a week or more,50-99,foreman and supervisor,,Turkey
1176,very important,very important,not very happy,5,5,3,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,21.0,single,full 2nd maturity level certificate,30h a week or more,10-24,unskilled manual worker,,Turkey
1177,not important,very important,not very happy,0,2,4,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,female,49.0,married,full 2nd maturity level certificate,housewife,,,,Turkey
1178,very important,very important,quite happy,5,8,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,41.0,married,full 2nd maturity level certificate,30h a week or more,50-99,junior level non-manual -office worker etc,,Turkey
1179,not important,very important,not very happy,0,2,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,21.0,single,compl compulsory education,housewife,,,,Turkey
1180,very important,very important,not at all happy,0,3,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,female,36.0,married,compl compulsory education,housewife,,,,Turkey
1181,very important,quite important,not very happy,0,7,5,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,21.0,single,full 2nd maturity level certificate,student,,,,Turkey
1182,very important,very important,quite happy,9,9,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,36.0,separated,full 2nd maturity level certificate,30h a week or more,2-9,skilled manual worker,,Turkey
1183,very important,very important,very happy,10,9,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,46.0,married,higher educ- upper-level 3d certificate,30h a week or more,50-99,junior level non-manual -office worker etc,,Turkey
1184,very important,very important,not at all happy,0,1,1,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,57.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,employer/manager of establ with less than 10 employees,,Turkey
1185,very important,quite important,not very happy,5,5,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,male,32.0,married,higher educ- upper-level 3d certificate,30h a week or more,100-249,junior level non-manual -office worker etc,,Turkey
1186,very important,not important,not very happy,0,10,4,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,19.0,single,full 2nd maturity level certificate,student,,,,Turkey
1187,very important,very important,very happy,0,6,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,23.0,single,full 2nd maturity level certificate,unemployed,,,less than half a year,Turkey
1188,very important,quite important,very happy,8,5,10,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,36.0,married,full 2nd maturity level certificate,30h a week or more,50-99,junior level non-manual -office worker etc,,Turkey
1189,not important,not at all important,not at all happy,0,10,2,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,53.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,"professional worker (lawyer, accountant, teacher etc)",,Turkey
1190,very important,very important,quite happy,0,2,4,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,26.0,widowed,compl compulsory education,housewife,,,,Turkey
1191,very important,very important,quite happy,0,4,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,25.0,widowed,compl compulsory education,retired/pensioned,,,,Turkey
1192,very important,very important,quite happy,10,10,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,32.0,single,higher educ- upper-level 3d certificate,30h a week or more,10-24,junior level non-manual -office worker etc,,Turkey
1193,very important,very important,very happy,0,10,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,46.0,married,full 2nd maturity level certificate,retired/pensioned,,junior level non-manual -office worker etc,,Turkey
1194,very important,very important,very happy,10,8,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,42.0,married,compl compulsory education,30h a week or more,25-49,semi-skilled manual worker,,Turkey
1195,very important,very important,very happy,0,2,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,28.0,married,compl compulsory education,housewife,,,,Turkey
1196,quite important,very important,quite happy,0,3,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,male,65.0,married,inadequate education,unemployed,,,half a year -one year,Turkey
1197,very important,very important,very happy,0,1,10,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,female,37.0,married,compl compulsory education,housewife,,,,Turkey
1198,very important,very important,quite happy,9,6,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,46.0,married,compl compulsory education,30h a week or more,500-999,junior level non-manual -office worker etc,,Turkey
1199,very important,very important,quite happy,0,6,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,24.0,married,compl compulsory education,housewife,,,,Turkey
1200,quite important,very important,very happy,0,2,10,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,female,19.0,single,compl compulsory education,housewife,,,,Turkey
1201,very important,very important,very happy,2,5,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,50.0,married,compl compulsory education,less then 30h a week,,agricultural worker,,Turkey
1202,very important,very important,quite happy,0,9,7,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,20.0,married,full 2nd maturity level certificate,unemployed,,,less than half a year,Turkey
1203,very important,very important,not at all happy,10,5,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,34.0,married,compl compulsory education,30h a week or more,25-49,unskilled manual worker,,Turkey
1204,very important,very important,not very happy,8,10,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,55.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
1205,very important,very important,quite happy,0,6,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,19.0,single,full 2nd maturity level certificate,unemployed,,,half a year -one year,Turkey
1206,,not at all important,quite happy,0,5,7,mentioned,mentioned,,mentioned,,,,,,,,female,78.0,widowed,compl compulsory education,retired/pensioned,,semi-skilled manual worker,,Germany
1207,very important,not at all important,,0,5,7,mentioned,,,mentioned,,,,,,,,female,60.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
1208,not important,not at all important,quite happy,0,6,7,mentioned,mentioned,,mentioned,,,,,,,,female,41.0,married,compl compulsory education,housewife,,,,Germany
1209,not important,not important,quite happy,0,6,10,mentioned,,,mentioned,,,,,,,,female,55.0,married,compl compulsory education,housewife,,,,Germany
1210,very important,not at all important,not very happy,0,4,3,mentioned,,,mentioned,,,,,,,,male,55.0,divorced,compl compulsory education,unemployed,,,half a year -one year,Germany
1211,not important,not at all important,quite happy,0,6,6,mentioned,mentioned,,mentioned,,,,,,,,female,62.0,married,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
1212,not important,not at all important,quite happy,10,8,6,mentioned,,,mentioned,mentioned,mentioned,,,,mentioned,mentioned,male,37.0,married,higher educ- upper-level 3d certificate,30h a week or more,,junior level non-manual -office worker etc,,Germany
1213,quite important,not important,quite happy,8,7,8,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,male,22.0,never married,full 2nd maturity level certificate,less then 30h a week,,never had a job,,Germany
